cod_dane,Municipio,Departamento,SubPDET,n_edificios_goo,area_total_goo,area_prom_goo,n_edificios_ms,area_total_ms,area_prom_ms
18094,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,4377.0,524918.31,119.93,0.0,0.0,0.0
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,13522.0,1772839.1,131.11,0.0,0.0,0.0
18205,CURILLO,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,3244.0,374250.72,115.37,0.0,0.0,0.0
18247,EL DONCELLO,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,7536.0,1117148.57,148.24,0.0,0.0,0.0
18256,EL PAUJIL,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,5022.0,671130.6,133.64,0.0,0.0,0.0
18410,LA MONTAÑITA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,7758.0,861953.2,111.11,0.0,0.0,0.0
18460,MILÁN,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,2898.0,327137.54,112.88,0.0,0.0,0.0
18479,MORELIA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,1889.0,252922.39,133.89,0.0,0.0,0.0
18592,PUERTO RICO,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,10268.0,1254136.3,122.14,0.0,0.0,0.0
18610,SAN JOSÉ DEL FRAGUA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,4283.0,475490.52,111.02,0.0,0.0,0.0
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,17877.0,2420698.51,135.41,0.0,0.0,0.0
18756,SOLANO,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,5121.0,567560.34,110.83,722.0,56480.8,78.23
18785,SOLITA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,2470.0,284922.79,115.35,0.0,0.0,0.0
18860,VALPARAÍSO,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,3971.0,499444.85,125.77,0.0,0.0,0.0
19050,ARGELIA,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,11459.0,901909.4,78.71,0.0,0.0,0.0
19075,BALBOA,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,10961.0,827026.86,75.45,0.0,0.0,0.0
19110,BUENOS AIRES,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,11651.0,1021530.92,87.68,0.0,0.0,0.0
19130,CAJIBÍO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,35199.0,2444433.42,69.45,0.0,0.0,0.0
19137,CALDONO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,12983.0,1141224.59,87.9,0.0,0.0,0.0
19142,CALOTO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,10592.0,1233074.67,116.42,0.0,0.0,0.0
19212,CORINTO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,8972.0,834687.54,93.03,0.0,0.0,0.0
19256,EL TAMBO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,32864.0,2280982.59,69.41,0.0,0.0,0.0
19318,GUAPI,CAUCA,PACÍFICO MEDIO,5699.0,510643.59,89.6,0.0,0.0,0.0
19364,JAMBALÓ,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,5575.0,390423.24,70.03,0.0,0.0,0.0
19418,LÓPEZ,CAUCA,PACÍFICO MEDIO,18.0,893.64,49.65,0.0,0.0,0.0
19450,MERCADERES,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,9682.0,852539.47,88.05,0.0,0.0,0.0
