Location,QuadKey,Url,Size,UploadDate
Colombia,32231202,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231202/part-00111-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,8.0MB,2026-02-23
Colombia,32231203,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231203/part-00089-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,390.0KB,2026-02-23
Colombia,32231212,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231212/part-00043-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,410.9KB,2026-02-23
Colombia,32231213,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231213/part-00098-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.5MB,2026-02-23
Colombia,32231220,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231220/part-00058-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,8.3MB,2026-02-23
Colombia,32231221,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231221/part-00085-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.8MB,2026-02-23
Colombia,32231222,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231222/part-00141-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,9.0MB,2026-02-23
Colombia,32231223,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231223/part-00145-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.5MB,2026-02-23
Colombia,32231230,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231230/part-00171-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.9MB,2026-02-23
Colombia,32231231,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032231231/part-00038-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,380.8KB,2026-02-23
